,constructs
q1,5.0
q2,3.0
q3,1.0
q4,1.0
q5,4.0
q6,2.0
q7,5.0
q8,3.0
q9,2.0
q10,2.0
q11,2.0
q12,5.0
q13,5.0
q14,3.0
q15,4.0
q16,1.0
q17,5.0
q18,2.0
q19,2.0
q20,4.0
q21,2.0
q22,1.0
q23,3.0
q24,1.0
q25,4.0
q26,5.0
q27,1.0
q28,5.0
q29,5.0
q30,5.0
q31,2.0
q32,3.0
q33,2.0
q34,1.0
q35,4.0
q36,3.0
q37,1.0
q38,3.0
q39,1.0
q40,1.0
q41,3.0
q42,2.0
q43,3.0
q44,4.0
q45,4.0
q46,1.0
q47,5.0
q48,2.0
q49,2.0
q50,5.0
q51,4.0
q52,2.0
q53,4.0
q54,3.0
q55,2.0
q56,3.0
q57,5.0
q58,4.0
q59,1.0
q60,5.0
q61,1.0
q62,3.0
q63,1.0
q64,1.0
q65,4.0
q66,2.0
q67,5.0
q68,2.0
q69,2.0
q70,1.0
q71,1.0
q72,4.0
q73,4.0
q74,1.0
q75,4.0
q76,3.0
q77,5.0
q78,5.0
q79,2.0
q80,3.0
q81,5.0
q82,4.0
q83,5.0
q84,1.0
q85,1.0
q86,4.0
q87,5.0
q88,3.0
q89,5.0
q90,3.0
q91,1.0
q92,2.0
q93,3.0
q94,3.0
q95,4.0
q96,2.0
q97,5.0
q98,4.0
q99,5.0
q100,5.0
